,Manjanggul,Bijarim,Seopjikoji ,Seongsanilchul Provincial Marine Park,"Jeongbang Waterfall, Xu Fu exhibition, Chilshimni food specialized street",Jusangjeolli,"Cheonjiyeon Waterfall, Saeyeongyo office",Sanbangsan Mountain,The mystery of the road,Jejumok government office,Jeju Natural World Heritage Center,Halla Arboretum,Historic Site of Anti-Yuan Movement,Jeolmul Natural Recreation Forest,Bulgeun Oreum Natural Recreation Forest,Museum of Contemporary Art,11Course,"The Museum of Sex Health, Andeok Valley",9Course,Daejeong-eup,Andeok-myeon,"7Course, Jungmun Tourist Complex, Jungmun Marine Park Pacificland, Cheonjeyeon Falls, Ripley's Believe It or Not! Museum, Teddy Bear Museum, Play K-Pop Jeju",World Car Museum,Hwasun Gotjawal eco-tourism attractions forest,"Songaksan, Footprints hwaseokjji Management Office, Four Seasons beach, Four Seasons coast road, Hwasun golden sand beach",Mara Provincial Marine Park,Seogwipo Cross-country Bus Terminal ,Seogwipo Astronomical Science and Culture Center, Museum of world shell,Gidang Art Museum,Soingook Theme Park,hyeopjjae beach ,Suwolbong Peak,Sinjeju Rotary,off-season training camp,Jeju pottery Museum,Jeju kanran exhibition,"The culture street of pine park, Lee Joong-sup street, Seogwipo City Lee Joong-sup Art Gallery",Jungangno cross road,"Pyoseon-myeon, Pyoseon daily gym",1Course,2Course,5Course,Gujwa gym,"Jeju National Museum, Jeju National Sports Center",Namwon-eup,Dynamic maize,Dodubong Park ,Donnaeko,Sarabong Park,"Seongsan-eup, Sinyang seopjikoji the beach","Jeju Folk Village Museum, Pyoseon Haevichi beach",Pyoseon Haevichi beach,Jeju Pony Town,Hayo soesokkak the beach,Honinji Pond,Jungang Rotary,Seongsanpo Shell Museum,Pony Valley,Museum of the world sex,Maze Park,Andeok Living Gym,Oedolgae Rock,"Yongyeon, Yongduam Rock",Ilchulland,Jeju Haenyeo Museum ,Jeju Herb Dongsan,Blue Mountain Coffee theme park,Dongmun Rotary,Jeju 4.3 peace park,Namwon living gym,Jeju rehabilitation hospital,Keuneong,Gangchanghak b Stadium,International Peace Center Jeju,Jeju International Peace Center Jeju,Maehwa Theme Park -1,Maehwa Theme Park -2,The Da Vinci Museum,Daeyu industry,Hyodon-ri,Seogwipo all-weather a gate ball ground,Camellia Hill,Samyang-dong site,Seogwipo Citrus Museum,Seogwipo-si  Gungdojang,Seogwipo roller-skating rink,Jeju Sculpture Park,Seogwipo Natural Recreation Forest,Soam the Memorial hyeonjunghwa,"Alice's Adventures in Wonderland, Soingook Theme Park",Hwanggeumnyung goldeunhil hub farm -2,Jeju Glass Museum,Hankyong gym,Hwanggeumnyung goldeunhil hub farm -1,Toy Park,eongtto waterfall ,Yerae Ecology Experience Center,Jewon Apt,Jeju Greentea,Cheju folklore and national history museum,Sports Stadium,Hyuaeri,Kim Jeong-hui's House of Exile,anti-Japan memorial hall,Korea Baseball Hall of Fame,Gimjeong Cultural Center,Birthplace of Beopjeongsa,Jeju Museum of Art,Gwakjji gwamul beach,Museum of Education,Ido Park,"Jeju anti-Japan memorial hall, Jocheon gym",deer ecology observation center,Aewal Ocean Front National Sports Center,Jeju dinosaurs Museum ,Jeju chusagwan,natural-lover gallery,Liquorium,Daejeong Culture and Sports Center,Hanlim gym,water transport park ,Film Culture center,Aewol gym,ioteu beach,Intercity Bus Terminal
Jeju Natural World Heritage Center,0.158249158,0.087542088,0.023569024,0.148148148,0.006734007,0.01010101,0.043771044,0,0.003367003,0.02020202,0,0,0.006734007,0.03030303,0.003367003,0,0,0,0,0,0.01010101,0.003367003,0.003367003,0,0,0,0.006734007,0,0,0,0.003367003,0.003367003,0.003367003,0.003367003,0,0,0,0.016835017,0.003367003,0.033670034,0.003367003,0,0,0,0.006734007,0,0.03030303,0.006734007,0.003367003,0.003367003,0.060606061,0.043771044,0.013468013,0.013468013,0.003367003,0,0.003367003,0.003367003,0.006734007,0,0.003367003,0,0,0.02020202,0.003367003,0.023569024,0.006734007,0.003367003,0,0.057239057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003367003,0,0,0,0,0,0,0,0,0,0,0,0,0.003367003,0,0,0,0,0,0,0,0,0,0,0,0,0.006734007,0.003367003,0,0,0,0.006734007,0,0,0,0.003367003,0,0,0,0,0,0.006734007,0.013468013
Halla Arboretum,0.003861004,0,0.007722008,0.023166023,0.019305019,0.030888031,0.011583012,0.015444015,0.065637066,0.05019305,0,0,0.015444015,0.023166023,0,0,0.015444015,0,0,0,0.019305019,0.015444015,0,0,0.003861004,0,0.007722008,0,0,0,0,0.007722008,0.003861004,0.030888031,0.011583012,0,0.015444015,0.007722008,0.011583012,0.038610039,0.007722008,0,0,0,0.038610039,0.003861004,0,0.061776062,0,0.042471042,0.019305019,0.003861004,0,0,0.003861004,0,0,0,0,0,0.003861004,0,0,0.104247104,0.003861004,0,0,0,0,0.015444015,0,0,0,0,0,0,0,0,0,0,0.003861004,0,0,0,0,0,0,0.003861004,0.003861004,0,0.003861004,0,0,0,0,0,0,0,0.054054054,0,0.027027027,0,0,0,0,0,0,0,0.019305019,0.015444015,0,0,0,0,0.007722008,0,0,0,0.007722008,0,0.003861004,0,0,0,0.084942085,0
Historic Site of Anti-Yuan Movement,0.006849315,0,0,0.034246575,0.034246575,0.047945205,0,0.020547945,0.02739726,0.034246575,0,0.006849315,0,0.006849315,0,0,0.006849315,0.01369863,0,0,0.061643836,0.020547945,0,0.01369863,0.075342466,0,0.006849315,0,0.006849315,0,0.020547945,0.020547945,0.006849315,0.01369863,0.01369863,0,0,0.01369863,0.01369863,0.006849315,0,0.006849315,0.006849315,0,0.01369863,0.006849315,0,0.006849315,0.01369863,0.006849315,0.020547945,0,0,0,0.006849315,0,0,0,0.006849315,0,0,0,0.006849315,0.04109589,0,0,0.006849315,0,0.006849315,0.01369863,0,0,0.006849315,0,0,0,0.006849315,0.01369863,0,0.01369863,0,0,0.020547945,0.020547945,0,0.006849315,0,0,0,0,0,0,0,0,0,0,0,0,0.01369863,0,0.047945205,0,0,0.006849315,0,0,0,0,0.006849315,0.02739726,0,0,0,0,0.01369863,0,0.006849315,0,0,0,0,0,0.006849315,0,0.075342466,0
Jeolmul Natural Recreation Forest,0.012939002,0.033271719,0.025878004,0.133086876,0.011090573,0.003696858,0.029574861,0.001848429,0.003696858,0.009242144,0.007393715,0.007393715,0,0,0.003696858,0,0.001848429,0.001848429,0,0.001848429,0.011090573,0.007393715,0.001848429,0,0.009242144,0,0,0,0.003696858,0,0,0.003696858,0,0.009242144,0.005545287,0,0.003696858,0.029574861,0.009242144,0.029574861,0.005545287,0.001848429,0.003696858,0.007393715,0.042513863,0.007393715,0.01663586,0.005545287,0.014787431,0.005545287,0.060998152,0.011090573,0.009242144,0.018484288,0.014787431,0.001848429,0.003696858,0,0.011090573,0,0.01663586,0,0.012939002,0.059149723,0.014787431,0.005545287,0.014787431,0.01663586,0,0.04805915,0,0,0.001848429,0,0,0,0,0,0,0.001848429,0.009242144,0.003696858,0,0,0.001848429,0,0,0,0,0,0,0,0,0,0,0,0.001848429,0,0.009242144,0,0.009242144,0.003696858,0.001848429,0,0.001848429,0,0,0,0,0.009242144,0.001848429,0.001848429,0,0.066543438,0,0,0,0,0,0,0,0,0,0,0.025878004,0.005545287
Bulgeun Oreum Natural Recreation Forest,0.012578616,0.037735849,0.031446541,0.031446541,0.044025157,0.012578616,0.050314465,0.006289308,0,0,0.006289308,0,0,0.006289308,0,0,0.006289308,0,0.006289308,0,0.006289308,0.025157233,0.006289308,0,0.031446541,0,0.006289308,0,0.018867925,0,0,0,0,0,0,0,0,0.062893082,0.012578616,0.025157233,0,0,0.012578616,0,0.012578616,0.132075472,0.012578616,0.006289308,0.031446541,0.006289308,0.031446541,0.050314465,0.025157233,0,0.012578616,0,0,0,0,0,0.006289308,0,0.012578616,0.018867925,0,0.012578616,0.025157233,0,0.012578616,0.006289308,0.006289308,0,0.006289308,0,0,0,0,0,0.006289308,0,0.018867925,0.006289308,0.006289308,0,0.012578616,0,0,0,0.006289308,0,0,0,0,0,0,0,0.006289308,0,0,0,0,0.006289308,0.006289308,0,0.006289308,0,0,0,0,0.025157233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006289308,0
Museum of Contemporary Art,0,0,0,0,0.007352941,0.007352941,0.014705882,0.036764706,0.007352941,0.029411765,0,0,0.014705882,0,0,0,0.007352941,0.022058824,0,0,0.279411765,0,0,0,0.058823529,0.007352941,0.022058824,0.014705882,0.007352941,0.007352941,0,0.102941176,0.014705882,0.007352941,0.007352941,0,0.007352941,0.022058824,0.007352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007352941,0,0.014705882,0,0,0,0,0,0,0.014705882,0,0,0,0,0,0,0,0.007352941,0,0,0.029411765,0.014705882,0,0,0,0.007352941,0,0.007352941,0.007352941,0,0.007352941,0,0,0,0,0,0,0.007352941,0,0.007352941,0,0,0,0,0,0,0,0.007352941,0.007352941,0.014705882,0,0,0.007352941,0,0.088235294,0.014705882,0.007352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007352941,0
11Course,0,0,0,0,0.004048583,0,0.001349528,0.052631579,0,0,0,0.006747638,0.002699055,0,0,0.001349528,0,0.047233468,0.004048583,0.394062078,0.087719298,0.008097166,0.002699055,0.001349528,0.249662618,0.013495277,0.020242915,0.001349528,0.004048583,0,0.008097166,0.002699055,0.008097166,0.010796221,0.005398111,0.002699055,0.001349528,0.006747638,0.001349528,0.004048583,0,0,0,0,0,0,0,0,0,0,0.001349528,0,0.001349528,0,0.001349528,0,0.008097166,0,0,0,0,0.005398111,0,0.002699055,0,0,0,0,0.002699055,0,0,0,0,0,0,0,0,0.001349528,0.001349528,0,0,0,0.001349528,0,0,0,0,0.002699055,0,0,0.001349528,0.002699055,0,0,0,0.001349528,0,0,0.001349528,0,0,0,0,0.001349528,0,0,0.001349528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002699055,0,0,0,0.001349528,0.002699055
"The Museum of Sex Health, Andeok Valley",0.00035727,0.001429082,0.001786352,0.004644516,0.020364416,0.035012504,0.029653448,0.073954984,0.000714541,0.00035727,0,0,0,0.001071811,0,0,0.011432655,0,0.01607717,0.025008932,0.245087531,0.081100393,0.006430868,0.005716327,0.11825652,0.006430868,0.029296177,0.000714541,0.014648089,0.001071811,0.006788139,0.003215434,0.004287245,0.001071811,0.000714541,0.00035727,0.003572705,0.016434441,0.00035727,0.002500893,0.000714541,0.00035727,0.001071811,0.00035727,0.00035727,0.002143623,0.00035727,0,0.005716327,0.00035727,0.005716327,0.003215434,0.001429082,0,0.006430868,0,0.007145409,0,0,0.003572705,0.005001786,0.046087889,0.0157199,0.001786352,0,0,0.001071811,0.000714541,0.002500893,0,0.00035727,0.002858164,0.00035727,0.00035727,0.001071811,0,0,0.001429082,0.00035727,0.001071811,0.000714541,0.005001786,0.026080743,0,0.000714541,0.00035727,0.000714541,0.036441586,0.001786352,0.00035727,0.002500893,0.005001786,0.001071811,0.001429082,0,0.007145409,0.000714541,0.004644516,0.001429082,0.000714541,0,0,0.000714541,0.005001786,0,0,0.001071811,0.001429082,0.000714541,0.001071811,0,0.00035727,0,0,0,0,0,0,0,0,0.000714541,0,0,0.000714541,0.001429082,0.00035727
9Course,0,0,0,0,0.012195122,0.020325203,0.012195122,0.06097561,0,0.004065041,0,0,0,0,0,0,0,0.317073171,0,0.008130081,0.101626016,0.089430894,0.004065041,0,0.138211382,0,0.020325203,0,0.016260163,0,0.004065041,0,0.008130081,0.004065041,0,0,0,0.012195122,0,0,0,0,0.008130081,0,0.004065041,0.004065041,0,0,0.004065041,0,0,0.008130081,0,0,0.012195122,0,0,0,0,0,0,0.028455285,0.024390244,0.008130081,0,0,0,0,0,0,0,0,0,0,0,0,0.004065041,0,0,0,0,0,0.004065041,0,0,0,0,0.008130081,0.004065041,0,0.004065041,0.004065041,0.004065041,0,0,0.004065041,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0.004065041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daejeong-eup,0,0,0,0,0.004048583,0.005668016,0.00242915,0.025910931,0,0.00242915,0,0,0.00242915,0,0.001619433,0,0.227530364,0.059109312,0.000809717,0,0.187044534,0.017004049,0.004048583,0.003238866,0.172469636,0.0048583,0.093117409,0,0.0048583,0.000809717,0.008097166,0.003238866,0.0048583,0.008097166,0.013765182,0.0048583,0,0.010526316,0.001619433,0.001619433,0,0,0,0,0,0.00242915,0,0,0.000809717,0,0.001619433,0,0,0.000809717,0.00242915,0,0.007287449,0,0,0.000809717,0.001619433,0.007287449,0.000809717,0.001619433,0,0,0,0,0.003238866,0.000809717,0,0.004048583,0,0,0,0,0.000809717,0.007287449,0.000809717,0,0.000809717,0.000809717,0.006477733,0,0.000809717,0,0.001619433,0.008097166,0.001619433,0,0.005668016,0.013765182,0,0.007287449,0,0.00242915,0,0,0.003238866,0,0,0.004048583,0,0.007287449,0,0,0.000809717,0,0,0.007287449,0,0,0,0,0,0,0,0,0,0.000809717,0.005668016,0,0.000809717,0,0,0
Andeok-myeon,0.000146007,0.001460067,0.00043802,0.002190101,0.011826544,0.012556578,0.013578625,0.054168492,0.001022047,0.003650168,0,0.000292013,0.000584027,0.00043802,0.000146007,0.004672215,0.013286611,0.151846985,0.002774128,0.02890933,0,0.05957074,0.007592349,0.005110235,0.161483428,0.004964228,0.055920572,0,0.012848591,0.000292013,0.022631041,0.012556578,0.003066141,0.008030369,0.007300336,0.001460067,0.075485472,0.022923054,0.001460067,0.002044094,0.00043802,0.000730034,0.000584027,0,0.00087604,0.001898087,0.000584027,0.002628121,0.000730034,0.000730034,0.006424296,0.001168054,0.000584027,0,0.003212148,0,0.012702584,0,0,0.001022047,0.004526208,0.027449263,0.005110235,0.003066141,0.000146007,0,0.000292013,0.000584027,0.004380201,0.00087604,0,0.002044094,0,0.000292013,0.000584027,0,0.002628121,0.005110235,0.003212148,0.00043802,0.002336107,0.001606074,0.023215068,0.000584027,0.001022047,0,0.000584027,0.014162651,0.001022047,0.001752081,0.004672215,0.003650168,0.001168054,0.006716309,0.000146007,0.051540371,0.000584027,0.000730034,0.002628121,0,0.00043802,0.000292013,0.000292013,0.00131406,0,0,0.000146007,0.000292013,0.00087604,0.004234195,0.000292013,0.000146007,0,0,0.000292013,0.000146007,0,0,0.00043802,0.000146007,0.005694262,0.000146007,0,0.000730034,0.001898087,0.000292013
"7Course, Jungmun Tourist Complex, Jungmun Marine Park Pacificland, Cheonjeyeon Falls, Ripley's Believe It or Not! Museum, Teddy Bear Museum, Play K-Pop Jeju",0.001753771,0.000876885,0.003332164,0.009645738,0.040161347,0.189582603,0.064889512,0.046650298,0.002104525,0.003507541,0,0.000876885,0.000701508,0.000350754,0.000175377,0.000175377,0.002806033,0.026481936,0.005787443,0.003507541,0.080322694,0,0.012627148,0.000175377,0.051736233,0.000876885,0.040862855,0.001929148,0.037179937,0.001753771,0.008242722,0.007365837,0.003156787,0.003332164,0.003682918,0,0.010522624,0.060505086,0.001052262,0.005261312,0.000526131,0.000350754,0.000876885,0.000350754,0.000350754,0.004559804,0.002455279,0.004735181,0.002455279,0,0.013854788,0.008768853,0.001227639,0.000175377,0.017186952,0,0.018063837,0,0.000526131,0.001403016,0.022448264,0.000701508,0.026481936,0.021220624,0.001753771,0.000175377,0.001753771,0.000350754,0.004735181,0.001052262,0.000175377,0.003507541,0.001578394,0.000350754,0.012276394,0.000526131,0.000175377,0.001052262,0.008418099,0.003507541,0.002455279,0.001753771,0.017713083,0.000175377,0.002806033,0.000526131,0.000876885,0.007891968,0.002455279,0.000526131,0.000350754,0.001052262,0.00298141,0.000175377,0.000175377,0.003156787,0.002455279,0.006664328,0.006313574,0.001578394,0.001227639,0.000526131,0.002104525,0.001052262,0.000350754,0.000350754,0.000175377,0,0.000876885,0.003682918,0,0,0,0,0,0,0,0,0.000350754,0,0,0,0,0.000175377,0.001929148,0.001052262
World Car Museum,0.001766784,0,0.001766784,0.001766784,0.026501767,0.044169611,0.053003534,0.053003534,0.003533569,0,0,0,0.001766784,0,0,0.003533569,0.003533569,0.037102473,0.003533569,0.007067138,0.106007067,0.176678445,0,0.010600707,0.054770318,0.003533569,0.035335689,0.001766784,0.012367491,0,0.070671378,0.007067138,0.001766784,0,0,0.001766784,0.017667845,0.019434629,0,0.001766784,0,0,0.001766784,0,0,0.001766784,0,0,0,0,0.007067138,0.001766784,0,0,0.017667845,0,0,0,0,0,0.017667845,0,0.014134276,0.001766784,0,0,0.003533569,0,0.003533569,0.001766784,0,0,0,0.001766784,0.012367491,0,0.001766784,0.007067138,0.007067138,0.003533569,0,0.001766784,0.03180212,0,0,0,0,0.007067138,0.001766784,0,0.024734982,0.003533569,0.014134276,0.003533569,0.001766784,0.012367491,0.003533569,0.001766784,0.001766784,0,0.001766784,0,0.001766784,0.003533569,0,0,0.001766784,0.001766784,0,0.007067138,0,0,0,0,0,0,0.001766784,0,0,0,0,0,0,0,0.001766784,0
Hwasun Gotjawal eco-tourism attractions forest,0,0,0,0.005076142,0,0.025380711,0.005076142,0.060913706,0,0,0,0.010152284,0.005076142,0,0,0,0.005076142,0.096446701,0.005076142,0.015228426,0.21319797,0.010152284,0.030456853,0,0.187817259,0,0.005076142,0,0.015228426,0,0.010152284,0.005076142,0.005076142,0.005076142,0,0,0.076142132,0.005076142,0,0,0,0,0,0,0,0.005076142,0,0.010152284,0,0,0,0,0.005076142,0,0,0,0,0,0,0.005076142,0,0.050761421,0.005076142,0.005076142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005076142,0,0,0,0,0.015228426,0,0,0,0,0.030456853,0,0,0.010152284,0,0,0.010152284,0,0.005076142,0.005076142,0,0,0,0,0.005076142,0,0.005076142,0,0,0,0,0,0.005076142,0,0,0,0,0,0,0.010152284,0,0,0,0,0,0,0,0.005076142,0
"Songaksan, Footprints hwaseokjji Management Office, Four Seasons beach, Four Seasons coast road, Hwasun golden sand beach",0.000301705,0.001357671,0.000754262,0.001810228,0.006939207,0.021722733,0.014632675,0.32704782,0.001206819,0.001357671,0,0.000452557,0.000754262,0.000452557,0.000150852,0.001055966,0.034846885,0.100769347,0.004978126,0.03454518,0.164429024,0.032734952,0.001508523,0.004374717,0,0.082667069,0.009805401,0.000754262,0.007240911,0.000452557,0.009956253,0.006788354,0.009503696,0.001206819,0.000754262,0,0.008296877,0.010107105,0.000301705,0.001659375,0.000301705,0.000301705,0.000452557,0.000301705,0.000301705,0.001055966,0.000452557,0.002262785,0.000452557,0.000150852,0.002564489,0.001508523,0.001508523,0,0.004525569,0.000150852,0.000754262,0,0,0.000754262,0.004827274,0.010559662,0.005581536,0.001206819,0,0,0.000603409,0,0.001055966,0.000452557,0.000150852,0.000754262,0,0,0.000905114,0,0.000603409,0.001508523,0.003771308,0.000905114,0.000150852,0.001055966,0.009503696,0.000150852,0.000301705,0.000301705,0.000150852,0.009051139,0.000754262,0.000150852,0.001055966,0.001206819,0.000452557,0.001508523,0,0.001357671,0.000301705,0.001206819,0.000603409,0,0.000150852,0.000301705,0,0.003771308,0,0.000150852,0.000150852,0.000150852,0.000150852,0.002715342,0,0.000150852,0,0,0.000301705,0,0.000452557,0.000301705,0,0,0,0,0,0.000301705,0.002413637,0.000905114
Mara Provincial Marine Park,0.000841751,0,0.001683502,0.002525253,0.006734007,0.013468013,0.006734007,0.067340067,0.000841751,0,0,0,0,0.000841751,0.000841751,0.000841751,0.011784512,0.031986532,0.000841751,0.010942761,0.024410774,0.014309764,0.005892256,0.001683502,0.686868687,0,0.005050505,0,0.002525253,0,0.003367003,0.005892256,0.004208754,0.000841751,0.001683502,0.000841751,0.008417508,0.008417508,0.001683502,0,0,0.000841751,0.001683502,0,0,0,0,0.002525253,0,0,0.002525253,0,0.000841751,0,0.003367003,0,0.000841751,0,0,0.000841751,0.001683502,0.000841751,0.008417508,0.002525253,0,0,0.000841751,0,0.000841751,0,0,0,0,0,0,0,0,0.002525253,0.000841751,0,0,0,0.01010101,0,0,0,0,0.005050505,0,0.000841751,0.002525253,0.000841751,0,0,0.000841751,0.000841751,0.000841751,0,0,0,0.001683502,0,0.000841751,0.003367003,0,0,0,0,0,0.002525253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001683502,0.001683502
Seogwipo Cross-country Bus Terminal ,0.001876173,0.000938086,0.001250782,0.014696685,0.038774234,0.007817386,0.02188868,0.024077548,0,0.000938086,0.000312695,0.000312695,0.000312695,0,0.000625391,0,0.005941213,0.01094434,0.001250782,0.032833021,0.142589118,0.058161351,0.000312695,0.000312695,0.02188868,0,0,0.000312695,0.049718574,0.002188868,0.002188868,0.006253909,0.002188868,0.002188868,0.009693558,0.000312695,0.001563477,0.062226391,0.002501563,0.04315197,0.002188868,0,0.00343965,0.000312695,0.000312695,0.03627267,0.000312695,0.000625391,0.001250782,0,0.045653533,0.0068793,0.001876173,0.000938086,0.008130081,0.000312695,0.068167605,0,0.000312695,0.061601001,0.036585366,0.000625391,0.013445904,0.001250782,0,0.000625391,0.000625391,0,0.032833021,0.000312695,0.003752345,0.015009381,0.001563477,0.003126954,0.001250782,0,0.000312695,0.000625391,0.000625391,0.000625391,0.011257036,0.003126954,0.003752345,0,0.000625391,0.000625391,0.000312695,0.004377736,0.001563477,0.002188868,0.000625391,0.000938086,0.000625391,0.001250782,0.000312695,0.000938086,0.004377736,0.003126954,0.003752345,0,0.000312695,0.004377736,0.000312695,0.006566604,0,0.000625391,0.012820513,0.000312695,0.000312695,0.000938086,0.000312695,0.000625391,0,0,0.000312695,0,0,0.000312695,0,0,0.002814259,0,0,0,0.000938086,0
Seogwipo Astronomical Science and Culture Center,0,0,0,0.018518519,0.018518519,0.12962963,0.018518519,0,0.018518519,0,0,0,0,0,0,0,0,0.055555556,0.018518519,0,0.055555556,0.12962963,0,0,0,0,0.055555556,0,0.018518519,0,0,0.018518519,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0.018518519,0,0.055555556,0,0,0,0.037037037,0,0.055555556,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0.018518519,0,0,0,0,0.018518519,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0.018518519,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Museum of world shell,0.000624025,0.00124805,0.002184087,0.007800312,0.107020281,0.022152886,0.121684867,0.009984399,0,0.00124805,0,0.000312012,0,0.000936037,0.000312012,0,0.000936037,0.007176287,0.001872075,0.001872075,0.024024961,0.050858034,0.001560062,0.000312012,0.0074883,0,0.055538222,0.000624025,0,0.056162246,0.00124805,0.001872075,0,0.000312012,0.001560062,0,0.001872075,0.200624025,0.000312012,0.012168487,0.000936037,0.000312012,0.002808112,0,0.000312012,0.013104524,0.000624025,0.000312012,0.001872075,0,0.011544462,0.005616225,0.00124805,0.000312012,0.019032761,0,0.049297972,0,0,0.0049922,0.005616225,0,0.052418097,0.002184087,0,0.000312012,0.000936037,0,0.024336973,0.000312012,0.000624025,0.012792512,0.000624025,0.000624025,0.001872075,0,0,0.000624025,0,0.000624025,0.008424337,0.041809672,0.00374415,0,0.001872075,0.00124805,0.00124805,0.002184087,0.002184087,0.0024961,0.00124805,0.000624025,0,0,0,0.000312012,0.002184087,0.000312012,0.000936037,0,0,0,0.000624025,0.000312012,0,0.0024961,0.00124805,0,0.000624025,0.00124805,0,0.000624025,0.000312012,0,0.000312012,0,0,0,0.000312012,0,0,0,0.000312012,0,0.000624025,0
Gidang Art Museum,0,0.002188184,0,0,0.059080963,0.004376368,0.059080963,0.002188184,0,0,0,0,0,0,0,0,0,0.004376368,0,0,0.008752735,0.004376368,0,0,0.004376368,0,0.01750547,0,0.409190372,0,0,0.002188184,0,0,0.002188184,0,0,0.159737418,0.002188184,0.006564551,0,0,0.004376368,0,0,0.004376368,0,0,0.006564551,0.002188184,0.006564551,0,0.006564551,0,0.008752735,0,0.028446389,0,0,0.002188184,0,0,0.041575492,0,0,0,0,0,0.024070022,0.002188184,0,0.008752735,0,0,0.002188184,0,0,0,0,0,0.004376368,0.041575492,0,0,0.004376368,0,0.002188184,0,0.002188184,0.028446389,0,0,0,0,0,0,0,0,0,0,0,0,0.002188184,0,0,0.002188184,0.010940919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004376368,0
Soingook Theme Park,0,0.004207574,0.000701262,0.00631136,0.014025245,0.040673212,0.020336606,0.036465638,0.002805049,0,0.000701262,0,0,0,0,0,0.00911641,0.023842917,0.002805049,0.017531557,0.158485273,0.055399719,0.036465638,0.001402525,0.053997195,0.002805049,0.00631136,0.000701262,0.00911641,0,0,0.011220196,0.001402525,0.001402525,0.003506311,0,0.020336606,0.012622721,0,0.001402525,0,0,0.000701262,0,0,0.000701262,0.000701262,0.003506311,0,0,0.007713885,0.001402525,0.001402525,0.000701262,0.005610098,0,0.000701262,0,0,0,0.007012623,0.007012623,0.002805049,0.002805049,0,0,0.000701262,0,0.000701262,0,0,0,0,0,0.002103787,0,0.004207574,0.005610098,0.010518934,0,0.001402525,0,0.023141655,0.001402525,0.000701262,0,0,0.00911641,0,0.000701262,0.312061711,0.004908836,0.000701262,0.00631136,0.002103787,0.004207574,0,0,0.000701262,0.000701262,0.001402525,0,0.001402525,0.003506311,0,0,0,0,0.000701262,0.001402525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000701262,0
hyeopjjae beach ,0.002525253,0.002525253,0.002525253,0.005050505,0.007575758,0.035353535,0.022727273,0.078282828,0.007575758,0.022727273,0.002525253,0,0.012626263,0.002525253,0,0.015151515,0.005050505,0.025252525,0,0.007575758,0.103535354,0.063131313,0.002525253,0,0.068181818,0.002525253,0.025252525,0.002525253,0.017676768,0,0.005050505,0,0.063131313,0.025252525,0.005050505,0,0.017676768,0.012626263,0.015151515,0.002525253,0,0,0.002525253,0,0,0,0,0.005050505,0.002525253,0.002525253,0.007575758,0.005050505,0.005050505,0,0.005050505,0,0.01010101,0,0,0,0.005050505,0,0.005050505,0.047979798,0,0,0,0.002525253,0,0,0,0.002525253,0,0,0.002525253,0,0,0.005050505,0.017676768,0.002525253,0,0,0.012626263,0,0,0.002525253,0,0.002525253,0,0,0.002525253,0,0,0.002525253,0,0,0,0,0.02020202,0,0,0,0,0,0.002525253,0,0,0,0.002525253,0.068181818,0,0,0,0,0.005050505,0,0,0,0,0,0.005050505,0,0,0.002525253,0.017676768,0.027777778
Suwolbong Peak,0,0.002421308,0,0.002421308,0.02905569,0.03874092,0.012106538,0.089588378,0.002421308,0,0,0.002421308,0.007263923,0.002421308,0.002421308,0.007263923,0.004842615,0.02905569,0.004842615,0.014527845,0.04842615,0.053268765,0.004842615,0.004842615,0.230024213,0,0.016949153,0.002421308,0.007263923,0,0.00968523,0.033898305,0,0.002421308,0.002421308,0,0.00968523,0.024213075,0,0,0,0,0,0.002421308,0.004842615,0,0,0.012106538,0.004842615,0,0.007263923,0.002421308,0,0,0.002421308,0,0,0,0,0.004842615,0,0,0.004842615,0.014527845,0.002421308,0,0,0,0,0.014527845,0,0,0,0,0,0,0,0.004842615,0,0.004842615,0.002421308,0.002421308,0.002421308,0,0,0,0,0.00968523,0,0,0,0.012106538,0,0.082324455,0.004842615,0.002421308,0.004842615,0,0.002421308,0,0,0.002421308,0,0.012106538,0,0,0,0.002421308,0,0.050847458,0,0,0,0,0.004842615,0,0.004842615,0,0,0,0,0,0,0,0.007263923,0
