Location,Latitude,Latitude
Pony Valley,,
Museum of the world sex,33.451638,126.49
Maze Park,33.53593,126.772173
Andeok Living Gym,,
Oedolgae Rock,33.239072,126.544592
Yongyeon,33.516146,126.511881
Yongduam Rock,,
Ilchulland,33.380666,126.844913
Jeju Haenyeo Museum,33.523523,126.863485
Jeju Herb Dongsan,33.329788,126.814954
Blue Mountain Coffee theme park,33.290437,126.322496
Dongmun Rotary,33.513125,126.527095
Jeju 4.3 peace park,33.45116,126.618941
Namwon living gym,35.416357,127.390488
Jeju rehabilitation hospital,33.2528,126.562505
Keuneong,33.273098,126.703604
Gangchanghak b Stadium,33.246185,126.509324
International Peace Center Jeju,33.2452,126.421309
Jeju International Peace Center Jeju,33.2452,126.421309
Maehwa Theme Park -1,35.080424,127.71533
Maehwa Theme Park  - 2,35.080424,127.71533
The Da Vinci Museum,33.319426,126.385847
Daeyu industry,,
Hyodon-ri,,
Seogwipo all-weather a gate ball ground,,
Camellia Hill,33.28898,126.370135
Samyang-dong site,33.521623,126.58597
Seogwipo Citrus Museum,33.271291,126.607086
Seogwipo-si  Gungdojang,,
Seogwipo roller-skating rink,33.258191,126.50037
Jeju Sculpture Park,33.249264,126.321354
Seogwipo Natural Recreation Forest,33.31134,126.460265
Soam the Memorial hyeonjunghwa,37.590783,127.043546
"Alice's Adventures in Wonderland, Soingook Theme Park",33.290437,126.322496
Hwanggeumnyung goldeunhil hub farm -2,,
Jeju Glass Museum,33.314611,126.273691
Hankyong gym,37.011635,127.264235
Hwanggeumnyung goldeunhil hub farm -1,,
267-7 Donggwang-ro,33.30898,126.340273
Andeok-myeon,,
"Seogwipo-si, Jeju-do ",,
eongtto waterfall,33.26854,126.499901
Yerae Ecology Experience Center,33.447244,126.667715
Jewon Apt,36.112537,127.54609
Jeju Greentea,33.305911,126.289427
Cheju folklore and national history museum,33.506485,126.531615
Sports Stadium,37.53051,126.883008
Hyuaeri,37.521247,127.034364
Kim Jeong-hui's House of Exile,37.663998,127.978458
anti-Japan memorial hall,,
Korea Baseball Hall of Fame,33.23839,126.507514
Gimjeong Cultural Center,,
Birthplace of Beopjeongsa,,
Jeju Museum of Art,33.339667,126.265671
Gwakjji gwamul beach,33.448302,126.307485
Museum of Education,,
Ido Park,,
Jeju anti-Japan memorial hall,,
Jocheon gym,,
deer ecology observation center,33.44463,126.627465
Aewal Ocean Front National Sports Center,,
Jeju dinosaurs Museum,33.442484,126.432754
Jeju chusagwan,,
natural-lover gallery,,
Liquorium,37.018485,127.865624
Daejeong Culture and Sports Center,36.316167,127.431516
Hanlim gym,37.485159,127.133512
water transport park,33.247966,126.518195
Film Culture center,,
Aewol gym,33.464241,126.320728
ioteu beach,33.501884,126.453424
Intercity Bus Terminal,33.499725,126.514843
